Friday - July 17
201212570,se revisa
201215588,se revisa
201310918,se revisa
201127333,se revisa
200911613,no se revisa
201415069,no se revisa
201127636,se revisa
201316426,se revisa
201326617,no se revisa
201317383,no se revisa
201219580,se revisa
201112121,se revisa
201214211,se revisa
201318518,se revisa
201214691,se revisa
201327421,no se revisa
201327449,no se revisa
201315401,no se revisa
201126749,se revisa
201327824,no se revisa
201215310,se revisa
201226919,se revisa
201215447,no se revisa
